 Epoch,estimateErro
       1,   0.860E-03
     101,   0.147E-05
     201,   0.303E-06
     301,   0.262E-06
     401,   0.238E-06
     501,   0.217E-06
     601,   0.197E-06
     701,   0.180E-06
     801,   0.164E-06
     901,   0.149E-06
    1001,   0.136E-06
    1101,   0.124E-06
    1201,   0.113E-06
    1301,   0.102E-06
    1401,   0.933E-07
    1501,   0.850E-07
    1601,   0.774E-07
    1701,   0.705E-07
    1801,   0.642E-07
    1901,   0.584E-07
    2001,   0.532E-07
    2101,   0.484E-07
    2201,   0.441E-07
    2301,   0.402E-07
    2401,   0.366E-07
    2501,   0.333E-07
    2601,   0.303E-07
    2701,   0.276E-07
    2801,   0.251E-07
    2901,   0.229E-07
    3001,   0.209E-07
    3101,   0.190E-07
    3201,   0.173E-07
    3301,   0.157E-07
    3401,   0.143E-07
    3501,   0.131E-07
    3601,   0.119E-07
    3701,   0.108E-07
    3801,   0.986E-08
    3901,   0.898E-08
    4001,   0.817E-08
    4101,   0.744E-08
    4201,   0.678E-08
    4301,   0.617E-08
    4401,   0.562E-08
    4501,   0.512E-08
    4601,   0.466E-08
    4701,   0.424E-08
    4801,   0.386E-08
    4901,   0.352E-08
    5001,   0.320E-08
    5101,   0.292E-08
    5201,   0.266E-08
    5301,   0.242E-08
    5401,   0.220E-08
    5501,   0.201E-08
    5601,   0.183E-08
    5701,   0.166E-08
    5801,   0.151E-08
    5901,   0.138E-08
    6001,   0.126E-08
    6101,   0.114E-08
    6201,   0.104E-08
    6301,   0.948E-09
    6401,   0.863E-09
    6501,   0.786E-09
    6601,   0.716E-09
    6701,   0.652E-09
    6801,   0.593E-09
    6901,   0.540E-09
    7001,   0.492E-09
    7101,   0.448E-09
    7201,   0.408E-09
    7301,   0.372E-09
    7401,   0.338E-09
    7501,   0.308E-09
    7601,   0.281E-09
    7701,   0.255E-09
    7801,   0.233E-09
    7901,   0.212E-09
    8001,   0.193E-09
    8101,   0.176E-09
    8201,   0.160E-09
    8301,   0.146E-09
    8401,   0.133E-09
    8501,   0.121E-09
    8601,   0.110E-09
    8701,   0.100E-09
    8801,   0.912E-10
    8901,   0.830E-10
    9001,   0.756E-10
    9101,   0.688E-10
    9201,   0.627E-10
    9301,   0.571E-10
    9401,   0.520E-10
    9501,   0.473E-10
    9601,   0.431E-10
    9701,   0.392E-10
    9801,   0.357E-10
    9901,   0.325E-10
